Stories,,,,
Sales by Items By Group,,,,
SHISH BARAK,,38.0,"23,963.96",
CHICKEN ALFREDO PASTA,,54.0,"34,054.05",
CHICKEN STROGANOFF,,45.0,"28,378.38",
KOUSA BE LABAN,,4.0,"2,522.52",
SPAGHETTI BOLOGNESE,,14.0,"8,828.83",
19-Jan-26,Years:2025 Months:0,,Page 13 of, 359
Description,Barcode,Qty,Total Amount,
VEGETARIAN GRAPE LEAVES,,93.0,"58,648.65",
ROASTED CHICKEN,,16.0,"10,090.09",
NOUILLE,,9.0,"5,801.80",
BUTTER CHICKEN,,23.0,"14,504.50",
POTATO SOUFFLE,,7.0,"4,414.41",
Baked Falafel,,1.0,"630.63",
B.B.Q CHICKEN,,8.0,"5,045.05",
